init x,init y,init z,N,dt,elapsed_time_total
0.1,1.4000000000000001,1.0,40000,0.0023,3.676804000000004
beta,sigma,rho,time_elapsed
10.0,2.6666666666666665,6.0,0.6570427999999993
x,y,z
3.097,2.641,5.828
3.087,2.636,5.811
3.077,2.631,5.794
3.067,2.626,5.777
3.057,2.622,5.76
3.047,2.618,5.743
3.037,2.614,5.726
3.027,2.61,5.709
3.017,2.606,5.692
3.008,2.602,5.675
2.999,2.598,5.658
2.99,2.594,5.641
2.981,2.591,5.624
2.972,2.588,5.607
2.963,2.585,5.59
2.954,2.582,5.573
2.945,2.579,5.556
2.937,2.576,5.539
2.929,2.573,5.522
2.921,2.57,5.505
2.913,2.567,5.489
2.905,2.565,5.473
2.897,2.563,5.457
2.889,2.561,5.441
2.881,2.559,5.425
2.874,2.557,5.409
2.867,2.555,5.393
2.86,2.553,5.377
2.853,2.551,5.361
2.846,2.549,5.345
2.839,2.547,5.329
2.832,2.546,5.313
2.825,2.545,5.297
2.819,2.544,5.281
2.813,2.543,5.265
2.807,2.542,5.249
2.801,2.541,5.233
2.795,2.54,5.217
2.789,2.539,5.201
2.783,2.538,5.185
2.777,2.537,5.169
2.771,2.536,5.154
2.766,2.536,5.139
2.761,2.536,5.124
2.756,2.536,5.109
2.751,2.536,5.094
2.746,2.536,5.079
2.741,2.536,5.064
2.736,2.536,5.049
2.731,2.536,5.034
2.727,2.536,5.019
2.723,2.536,5.004
2.719,2.536,4.989
2.715,2.536,4.974
2.711,2.537,4.959
2.707,2.538,4.944
2.703,2.539,4.929
2.699,2.54,4.915
2.695,2.541,4.901
2.691,2.542,4.887
2.688,2.543,4.873
2.685,2.544,4.859
2.682,2.545,4.845
2.679,2.546,4.831
2.676,2.547,4.817
2.673,2.548,4.803
2.67,2.549,4.789
2.667,2.551,4.775
2.664,2.553,4.761
2.661,2.555,4.747
2.659,2.557,4.734
2.657,2.559,4.721
2.655,2.561,4.708
2.653,2.563,4.695
2.651,2.565,4.682
2.649,2.567,4.669
2.647,2.569,4.656
2.645,2.571,4.643
2.643,2.573,4.63
2.641,2.575,4.617
2.639,2.577,4.604
2.638,2.58,4.591
2.637,2.583,4.578
2.636,2.586,4.566
2.635,2.589,4.554
2.634,2.592,4.542
2.633,2.595,4.53
2.632,2.598,4.518
2.631,2.601,4.506
2.63,2.604,4.494
2.629,2.607,4.482
2.628,2.61,4.47
2.628,2.613,4.458
2.628,2.616,4.446
2.628,2.619,4.435
2.628,2.622,4.424
2.628,2.625,4.413
2.628,2.629,4.402
2.628,2.633,4.391
2.628,2.637,4.38
2.628,2.641,4.369
2.628,2.645,4.358
2.628,2.649,4.347
2.628,2.653,4.336
2.629,2.657,4.325
2.63,2.661,4.315
2.631,2.665,4.305
2.632,2.669,4.295
2.633,2.673,4.285
2.634,2.677,4.275
2.635,2.681,4.265
2.636,2.685,4.255
2.637,2.689,4.245
2.638,2.693,4.235
2.639,2.698,4.225
2.64,2.703,4.215
2.641,2.708,4.206
2.643,2.713,4.197
2.645,2.718,4.188
2.647,2.723,4.179
2.649,2.728,4.17
2.651,2.733,4.161
2.653,2.738,4.152
2.655,2.743,4.143
2.657,2.748,4.134
2.659,2.753,4.125
2.661,2.758,4.117
2.663,2.763,4.109
2.665,2.768,4.101
2.667,2.773,4.093
2.669,2.778,4.085
2.672,2.783,4.077
2.675,2.788,4.069
2.678,2.793,4.061
2.681,2.799,4.053
2.684,2.805,4.045
2.687,2.811,4.038
2.69,2.817,4.031
2.693,2.823,4.024
2.696,2.829,4.017
2.699,2.835,4.01
2.702,2.841,4.003
2.705,2.847,3.996
2.708,2.853,3.989
2.711,2.859,3.982
2.714,2.865,3.975
2.717,2.871,3.969
2.721,2.877,3.963
2.725,2.883,3.957
2.729,2.889,3.951
2.733,2.895,3.945
2.737,2.901,3.939
2.741,2.907,3.933
2.745,2.913,3.927
2.749,2.919,3.921
2.753,2.925,3.915
2.757,2.931,3.91
2.761,2.938,3.905
2.765,2.945,3.9
2.769,2.952,3.895
2.773,2.959,3.89
2.777,2.966,3.885
2.781,2.973,3.88
2.785,2.98,3.875
2.789,2.987,3.87
2.794,2.994,3.865
2.799,3.001,3.861
2.804,3.008,3.857
2.809,3.015,3.853
2.814,3.022,3.849
2.819,3.029,3.845
2.824,3.036,3.841
2.829,3.043,3.837
2.834,3.05,3.833
2.839,3.057,3.829
2.844,3.064,3.825
2.849,3.071,3.822
2.854,3.078,3.819
2.859,3.085,3.816
2.864,3.092,3.813
2.869,3.099,3.81
2.874,3.106,3.807
2.879,3.113,3.804
2.884,3.12,3.801
2.889,3.127,3.798
2.894,3.134,3.795
2.9,3.141,3.793
2.906,3.148,3.791
2.912,3.156,3.789
2.918,3.164,3.787
2.924,3.172,3.785
2.93,3.18,3.783
2.936,3.188,3.781
2.942,3.196,3.779
2.948,3.204,3.777
2.954,3.212,3.776
2.96,3.22,3.775
2.966,3.228,3.774
2.972,3.236,3.773
2.978,3.244,3.772
2.984,3.252,3.771
2.99,3.26,3.77
2.996,3.268,3.769
3.002,3.276,3.768
3.008,3.284,3.768
3.014,3.292,3.768
3.02,3.3,3.768
3.026,3.308,3.768
3.032,3.316,3.768
3.039,3.324,3.768
3.046,3.332,3.768
3.053,3.34,3.768
3.06,3.348,3.768
3.067,3.356,3.768
3.074,3.364,3.769
3.081,3.372,3.77
3.088,3.38,3.771
3.095,3.388,3.772
3.102,3.396,3.773
3.109,3.404,3.774
3.116,3.412,3.775
